SILHO

457,597
497,576
475,545
439,549
387,548
359,559
334,550
326,528
329,508
303,463
309,449
292,427
285,399
267,395
241,361
264,334
284,275
263,226
264,194
142,182
107,162
112,126
159,100
228,77
234,60
245,55
249,2
592,0
589,598

HAT

590,2
247,3
242,56
230,61
230,76
118,118
101,138
114,171
246,195
342,199
426,198
435,291
520,377
590,406

GLASSES

273,237
266,255
285,333
309,359
322,353
316,305
311,289
442,246
441,241
309,281
297,250

EYELID

304,307
314,294
327,290
346,293
356,289
343,305
332,308
320,307
312,308

PUPIL

325,290
331,297
331,308
318,306
315,301
316,292

LIPS

291,426
346,418
356,433
322,472
305,474
300,457
351,431
303,436


